#, Field name, Type, Length in Bytes
":math:`1`", "Application name length (N)", "Byte", ":math:`1`"
":math:`2`", "Application name (UTF-8 encoded bytes)", "Bytes", "N"
":math:`3`", "Application version major", "Int", ":math:`4`"
":math:`4`", "Application version minor", "Int", ":math:`4`"
":math:`1`", "Application version patch", "Int", ":math:`4`"
":math:`6`", "Node name length (M)", "Byte", ":math:`1`"
":math:`7`", "Node name (UTF-8 encoded bytes)", "Bytes", "M"
":math:`8`", "Node nonce", "Long", ":math:`8`"
":math:`9`", "Declared address length (K) or :math:`0` if no declared address was set", "Int", ":math:`4`"
":math:`10`", "Declared address bytes (if length is not :math:`0`)", "Bytes", "K"
":math:`11`", "Timestamp", "Long", ":math:`8`"
