#, Field, JSON field name, Field type, Field size in bytes, Comment
":math:`1`", "Version flag", " ", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "Indicates the transaction version is 2 or higher. Value must be :math:`0`."
":math:`2`", ":ref:`Transaction type ID <02_decentralchain:Transaction Types>`", "type", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "Value must be :math:`5`."
":math:`3`", "Transaction version", "version", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "Value must be :math:`2`."
":math:`4`", ":ref:`Chain ID <02_decentralchain:Chain ID>`", "chainId", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", ":math:`87` — for Mainnet. :math:`84` — for Testnet. :math:`83` — for Stagenet."
":math:`5`", "Public key of the transaction sender", "senderPublicKey", "Array[:ref:`Byte <02_decentralchain:Blockchain Data Types>`]", ":math:`32`", " "
":math:`6`", "Token ID", "assetId", "Array[:ref:`Byte <02_decentralchain:Blockchain Data Types>`]", ":math:`32`", " "
":math:`7`", "Amount of token that will be reissued", "quantity", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`8`", "Reissue flag", "reissuable", ":ref:`Boolean <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "If the value is :math:`0`, then token reissue is not possible. If the value is :math:`1`, then token reissue is possible."
":math:`9`", ":ref:`Transaction fee <02_decentralchain:Transaction Fees>`", "fee", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`10`", "Transaction timestamp", "timestamp", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`11`", "Transaction proofs", "proofs", "See :ref:`transaction proofs binary format <02_decentralchain:Transaction Proofs Binary Format>`", "S", "If the array is empty, then :math:`S = 3`. If the array is not empty, then :math:`S = 3 + 2 × N + 64 × N`, where :math:`N` is the number of proofs in the array. The maximum number of proofs in the array is :math:`8`. The size of each proof is :math:`64` bytes."
