#, Field name, Type, Length in Bytes
":math:`1`", "Sender's public key", "PublicKey (Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`])", ":math:`32`"
":math:`2`", "Matcher's public key", "PublicKey (Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`])", ":math:`32`"
":math:`3.1`", "Amount asset flag (:math:`1` - asset, :math:`0` - DecentralCoins)", " ", ":math:`1`"
":math:`3.2`", "Amount asset", "AssetId (ByteStr = Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`])", ":math:`32` or :math:`0` (depends on the byte in 3.1)."
":math:`4.1`", "Price asset flag (:math:`1` - asset, :math:`0` - DecentralCoins)", " ", ":math:`1`"
":math:`4.2`", "Price asset", "AssetId (ByteStr = Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`])", ":math:`32` or :math:`0` (depends on the byte in 4.1)."
":math:`5`", "Order type (:math:`0` - Buy, :math:`1` - Sell)", "Bytes", ":math:`1`"
":math:`6`", "Price", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`"
":math:`7`", "Amount", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`"
":math:`8`", "Timestamp", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`"
":math:`9`", "Expiration", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`"
":math:`10`", "Matcher fee", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`"
