#, Field, Field type, Field size in bytes, Comment
":math:`1`", ":ref:`Transaction type ID <02_intermediate:Transaction Types>`", ":ref:`Byte <02_intermediate:Blockchain Data Types>`", ":math:`1`", "Value must be :math:`3`."
":math:`2`", "Transaction signature", "Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`]", ":math:`64`", " "
":math:`3`", "Transaction type ID", ":ref:`Byte <02_intermediate:Blockchain Data Types>`", ":math:`1`", "This field duplicates field 1."
":math:`4`", "Public key of the transaction sender", "Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`]", ":math:`32`", " "
":math:`5.1`", ":ref:`Token <02_intermediate:Token (Asset)>` name length", "Short", ":math:`2`", " "
":math:`5.2`", "Token name", "Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`]", "From :math:`4` to :math:`16`", " "
":math:`6.1`", "Token description length", "Short", ":math:`2`", " "
":math:`6.2`", "Token description", "Array[:ref:`Byte <02_intermediate:Blockchain Data Types>`]", "From :math:`0` to :math:`1000`", " "
":math:`7`", "Amount of the token that will be issued", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`", " "
":math:`8`", "Number of decimal places of the token", ":ref:`Byte <02_intermediate:Blockchain Data Types>`", ":math:`1`", " "
":math:`9`", "Reissue flag", ":ref:`Boolean <02_intermediate:Blockchain Data Types>`", ":math:`1`", " "
":math:`10`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`", " "
":math:`11`", "Transaction timestamp", ":ref:`Long <02_intermediate:Blockchain Data Types>`", ":math:`8`", " "
