Name, Max number of inputs, Complexity
"groth16Verify(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`16`", ":math:`2700`"
"groth16Verify_1inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`1`", ":math:`1200`"
"groth16Verify_2inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`2`", ":math:`1300`"
"groth16Verify_3inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`3`", ":math:`1400`"
"groth16Verify_4inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`4`", ":math:`1500`"
"groth16Verify_5inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`5`", ":math:`1600`"
"groth16Verify_6inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`6`", ":math:`1700`"
"groth16Verify_7inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`7`", ":math:`1800`"
"groth16Verify_8inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`8`", ":math:`1900`"
"groth16Verify_9inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`9`", ":math:`2000`"
"groth16Verify_10inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`10`", ":math:`2100`"
"groth16Verify_11inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`11`", ":math:`2200`"
"groth16Verify_12inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`12`", ":math:`2300`"
"groth16Verify_13inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`13`", ":math:`2400`"
"groth16Verify_14inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`14`", ":math:`2500`"
"groth16Verify_15inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`15`", ":math:`2600`"
