#, Name, Data type, Description
":math:`1`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", ":ref:`Token ID <02_intermediate:Token ID>`."
":math:`2`", "quantity", ":ref:`Int <03_advanced:Int>`", "Amount of issued token, multiplied by :math:`10^{decimals}`. Up to :math:`9 223 372 036 854 775 806`."
":math:`3`", "decimals", ":ref:`Int <03_advanced:Int>`", "Number of decimal places, :math:`0` to :math:`8`."
":math:`4`", "issuer", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of the :ref:`account <02_intermediate:Account>` that issued a token."
":math:`5`", "issuerPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Public key of the account that issued a token."
":math:`6`", "reissuable", ":ref:`Boolean <03_advanced:Boolean>`", "true — token can be reissued, false — cannot be reissued."
":math:`7`", "scripted", ":ref:`Boolean <03_advanced:Boolean>`", "true — :ref:`smart asset <documentation:placeholder>`, false — regular token."
":math:`8`", "minSponsoredFee", ":ref:`Int <03_advanced:Int>` | :ref:`Unit <03_advanced:Unit>`", "Amount of asset that is equivalent to :math:`0.001` :ref:`DecentralCoins <02_intermediate:DecentralCoin>` (:math:`100,000` Decentralites), specified in the minimum fraction (“cents”) of asset. See the :ref:`Sponsored fee <02_intermediate:Sponsored Fees>` article. unit: sponsorship is disabled."
":math:`9`", "name", ":ref:`String <03_advanced:String>`", "Token name, up to :math:`16` characters."
":math:`10`", "description", ":ref:`String <03_advanced:String>`", "Token description, up to :math:`1000` characters."
