#, Name, Data type, Description
":math:`1`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "ID of an order."
":math:`2`", "matcherPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Public key of a matcher."
":math:`3`", "assetPair", ":ref:`AssetPair <03_advanced:AssetPair>`", "Pair of :ref:`tokens <02_intermediate:Token (Asset)>`."
":math:`4`", "orderType", "Buy|Sell", "Type of an order — selling or buying."
":math:`5`", "price", ":ref:`Int <03_advanced:Int>`", "Price of a token to exchange."
":math:`6`", "amount", ":ref:`Int <03_advanced:Int>`", "Number of tokens to exchange."
":math:`7`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Unix time of the validation of an order by a matcher."
":math:`8`", "expiration", ":ref:`Int <03_advanced:Int>`", "Unix time when an uncompleted order will be cancelled."
":math:`9`", "matcherFee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`10`", "matcherFeeAssetId", ":ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Unit <03_advanced:Unit>`", "Token of a transaction fee. It can only be :ref:`DecentralCoins <02_intermediate:DecentralCoin>`."
":math:`11`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of the sender of an order."
":math:`12`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Public key of the sender of an order."
":math:`13`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Array of bytes of an order."
":math:`14`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
