#, Name, Data type, Description
":math:`1`", "quantity", ":ref:`Int <03_advanced:Int>`", "Amount of the :ref:`token <02_intermediate:Token (Asset)>`."
":math:`2`", "name", ":ref:`String <03_advanced:String>`", "Token name."
":math:`3`", "description", ":ref:`String <03_advanced:String>`", "Token description."
":math:`4`", "reissuable", ":ref:`Boolean <03_advanced:Boolean>`", "Reissue ability flag."
":math:`5`", "decimals", ":ref:`Int <03_advanced:Int>`", "Number of digits in decimal part."
":math:`6`", "script", ":ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Unit <03_advanced:Unit>`", ":ref:`Script <03_advanced:Script Types>` that must be set for the generated token."
":math:`7`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`8`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`9`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`10`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`11`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of the transaction sender."
":math:`12`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Account public key of the transaction sender."
":math:`13`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`14`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
