#, Name, Data type, Description
":math:`1`", "name", ":ref:`String <03_advanced:String>`", "Name of the token."
":math:`2`", "assetId", ":ref:`ByteVector <03_advanced:ByteVector>`", ":ref:`Token ID <02_intermediate:Token ID>`."
":math:`3`", "description", ":ref:`String <03_advanced:String>`", "Description of the token."
":math:`4`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`5`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`6`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`7`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`8`", "sender", "Address", "Address of a transaction sender."
":math:`9`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Account public key of a sender."
":math:`10`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`11`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
