#, Name, Data type, Description
":math:`1`", "buyOrder", "Order", "Token purchase order."
":math:`2`", "sellOrder", "Order", "Token sell order."
":math:`3`", "price", ":ref:`Int <03_advanced:Int>`", "Price of exchanging token."
":math:`4`", "amount", ":ref:`Int <03_advanced:Int>`", "Amount of exchanging tokens."
":math:`5`", "buyMatcherFee", ":ref:`Int <03_advanced:Int>`", "Matcher's purchase fee."
":math:`6`", "sellMatcherFee", ":ref:`Int <03_advanced:Int>`", "Matcher's sell fee."
":math:`7`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`8`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`9`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`10`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`11`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of a transaction sender."
":math:`12`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Account public key of a sender."
":math:`13`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`14`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
