#, Name, Data type, Description
":math:`1`", "dApp", ":ref:`Address <03_advanced:Address>` | :ref:`Alias <03_advanced:Alias>`", ":ref:`Address <02_intermediate:Address>` or :ref:`alias <02_intermediate:Alias>` of the account which is calling a function."
":math:`2`", "payments", ":ref:`List <03_advanced:List>` [:ref:`AttachedPayment <03_advanced:AttachedPayment>`]", "Payments attached to the transaction."
":math:`3`", "feeAssetId", ":ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Unit <03_advanced:Unit>`", ":ref:`token <02_intermediate:Token (Asset)>` to pay the commission."
":math:`4`", "function", "String", "Name of the :ref:`callable function <03_advanced:Callable Functions>`."
":math:`5`", "args", ":ref:`List <03_advanced:List>` [:ref:`Boolean <03_advanced:Boolean>` | :ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Int <03_advanced:Int>` | :ref:`String <03_advanced:String>` | :ref:`List <03_advanced:List>` [:ref:`Boolean <03_advanced:Boolean>` | :ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Int <03_advanced:Int>` | :ref:`String <03_advanced:String>`]]", "Parameters of the callable function."
":math:`6`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`7`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`8`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`9`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`10`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of the transaction sender."
":math:`11`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Account public key of the transaction sender."
":math:`12`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`13`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
