Action, Description
":ref:`BinaryEntry <03_ride-language:BinaryEntry>`", "Add or modify a binary entry of the :ref:`account data storage <02_decentralchain:Account Data Storage>`."
":ref:`BooleanEntry <03_ride-language:BooleanEntry>`", "Add or modify a boolean entry."
":ref:`Burn <03_ride-language:Burn>`", "Burn a token."
":ref:`DeleteEntry <03_ride-language:DeleteEntry>`", "Delete an entry."
":ref:`IntegerEntry <03_ride-language:IntegerEntry>`", "Add or modify an integer entry."
":ref:`Issue <03_ride-language:Issue>`", "Issue a token."
":ref:`Lease <03_ride-language:Lease>`", "Lease."
":ref:`LeaseCancel <03_ride-language:LeaseCancel>`", "Cancel lease."
":ref:`Reissue <03_ride-language:Reissue>`", "Reissue a token."
":ref:`ScriptTransfer <03_ride-language:ScriptTransfer>`", "Transfer a token."
":ref:`SponsorFee <03_ride-language:SponsorFee>`", "Set up a sponsorship."
":ref:`StringEntry <03_ride-language:StringEntry>`", "Add or modify a string entry."
