Name, Description
":ref:`Address <03_ride-language:Address>`", ":ref:`Account address <02_decentralchain:Address>`."
":ref:`Alias <03_ride-language:Alias>`", ":ref:`Alias <02_decentralchain:Alias>`."
":ref:`Asset <03_ride-language:Asset>`", ":ref:`Token <02_decentralchain:Token (Asset)>` info."
":ref:`AssetPair <03_ride-language:AssetPair>`", "Pair of tokens of an order within the order structure."
":ref:`AttachedPayment <03_ride-language:AttachedPayment>`", "Payment attached to the script invocation and available to the :ref:`callable function <03_ride-language:Callable Functions>`."
":ref:`BalanceDetails <03_ride-language:BalanceDetails>`", "Account balance in :ref:`DecentralCoins <02_decentralchain:DecentralCoin>`."
":ref:`BlockInfo <03_ride-language:BlockInfo>`", ":ref:`Block <02_decentralchain:Block>` header."
":ref:`Invocation <03_ride-language:Invocation>`", "Script invocation fields that the callable function can use."
":ref:`Order <03_ride-language:Order>`", "Order"
":ref:`Transfer <03_ride-language:Transfer>`", "Transfer within the :ref:`MassTransferTransaction <03_ride-language:MassTransferTransaction>` structure."
