#, Name, Data type, Description
":math:`1`", "quantity", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of the :ref:`token <02_decentralchain/02_token(asset):Token (Asset)>`."
":math:`2`", "assetId", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", ":ref:`token ID <02_decentralchain/02_token(asset):Token ID>`."
":math:`3`", "reissuable", ":ref:`Boolean <03_ride-language/02_data-types:Boolean>`", "Reissue flag."
":math:`4`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`5`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`6`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`7`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`8`", "sender", ":ref:`Address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of the transaction sender."
":math:`9`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Public key of the transaction sender."
":math:`10`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`11`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Proofs."
