#, Name, Data type, Description
":math:`1`", "quantity", ":ref:`Int <03_ride-language:Int>`", "Amount of the :ref:`token <02_decentralchain:Token (Asset)>` to burn."
":math:`2`", "assetId", ":ref:`ByteVector <03_ride-language:ByteVector>`", "ID of the token to burn."
":math:`3`", "id", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction ID."
":math:`4`", "fee", ":ref:`Int <03_ride-language:Int>`", ":ref:`Transaction fee <02_decentralchain:Transaction Fees>`."
":math:`5`", "timestamp", ":ref:`Int <03_ride-language:Int>`", "Transaction timestamp."
":math:`6`", "version", ":ref:`Int <03_ride-language:Int>`", "Transaction version."
":math:`7`", "sender", ":ref:`Address <03_ride-language:Address>`", ":ref:`Address <02_decentralchain:Address>` of the transaction sender."
":math:`8`", "senderPublicKey", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Public key of the transaction sender."
":math:`9`", "bodyBytes", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction body bytes."
":math:`10`", "proofs", ":ref:`List <03_ride-language:List>` [:ref:`ByteVector <03_ride-language:ByteVector>`]", "Array of proofs."
