#, Name, Data type, Description
":math:`1`", "name", ":ref:`String <03_ride-language/02_data-types:String>`", "Name of the token."
":math:`2`", "assetId", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", ":ref:`token ID <02_decentralchain/02_token(asset):Token ID>`."
":math:`3`", "description", ":ref:`String <03_ride-language/02_data-types:String>`", "Description of the token."
":math:`4`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`5`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`6`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`7`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`8`", "sender", "Address", "Address of a transaction sender."
":math:`9`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Account public key of a sender."
":math:`10`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`11`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Array of proofs."
