#, Name, Data type, Description
":math:`1`", "feeAssetId", ":ref:`ByteVector <03_ride-language:ByteVector>` | :ref:`Unit <03_ride-language:Unit>`", "Token to pay the commission."
":math:`2`", "amount", ":ref:`Int <03_ride-language:Int>`", "Amount of tokens to transfer."
":math:`3`", "assetId", ":ref:`ByteVector <03_ride-language:ByteVector>` | :ref:`Unit <03_ride-language:Unit>`", "ID of a token."
":math:`4`", "recipient", ":ref:`Address <03_ride-language:Address>` | :ref:`Alias <03_ride-language:Alias>`", "Address or alias of the recipient."
":math:`5`", "attachment", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Arbitrary data attached to transfer. The maximum data size is :math:`140` bytes."
":math:`6`", "id", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction ID."
":math:`7`", "fee", ":ref:`Int <03_ride-language:Int>`", ":ref:`Transaction fee <02_decentralchain:Transaction Fees>`."
":math:`8`", "timestamp", ":ref:`Int <03_ride-language:Int>`", "Transaction timestamp."
":math:`9`", "version", ":ref:`Int <03_ride-language:Int>`", "Transaction version."
":math:`10`", "sender", ":ref:`Address <03_ride-language:Address>`", ":ref:`Address <02_decentralchain:Address>` of a transaction sender."
":math:`11`", "senderPublicKey", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Account public key of a sender."
":math:`12`", "bodyBytes", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction body bytes."
":math:`13`", "proofs", ":ref:`List <03_ride-language:List>` [:ref:`ByteVector <03_ride-language:ByteVector>`]", "Array of proofs."
