#, Name, Data type, Description
":math:`1`", "buyOrder", "Order", "Token purchase order."
":math:`2`", "sellOrder", "Order", "Token sell order."
":math:`3`", "price", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Price of exchanging token."
":math:`4`", "amount", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of exchanging tokens."
":math:`5`", "buyMatcherFee", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Matcher's purchase fee."
":math:`6`", "sellMatcherFee", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Matcher's sell fee."
":math:`7`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`8`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`9`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`10`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`11`", "sender", ":ref:`Address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of a transaction sender."
":math:`12`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Account public key of a sender."
":math:`13`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`14`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Array of proofs."
