#, Name, Data type, Description
":math:`1`", "assetId", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>` | :ref:`Unit <03_ride-language/02_data-types:Unit>`", ":ref:`token ID <02_decentralchain/02_token(asset):Token ID>`."
":math:`2`", "totalAmount", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of the token to be transferred."
":math:`3`", "transfers", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`Transfer <03_ride-language/05_structures:Transfer>`]", "Transfers."
":math:`4`", "transferCount", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Number of transfers."
":math:`5`", "attachment", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Optional data attached to the transaction. This field is often used to attach a comment to the transaction. The maximum data size is :math:`140` bytes."
":math:`6`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`7`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`8`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`9`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`10`", "sender", ":ref:`Address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of the transaction sender."
":math:`11`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Public key of the transaction sender."
":math:`12`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`13`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Proofs."
