#, Name, Data type, Description
":math:`1`", "dApp", ":ref:`address <03_ride-language/05_structures:Address>` | :ref:`Alias <03_ride-language/05_structures:Alias>`", ":ref:`address <02_decentralchain/01_account:Address>` or :ref:`alias <02_decentralchain/01_account:Alias>` of the account which is calling a function."
":math:`2`", "payments", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`AttachedPayment <03_ride-language/05_structures:AttachedPayment>`]", "Payments attached to the transaction."
":math:`3`", "feeAssetId", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>` | :ref:`Unit <03_ride-language/02_data-types:Unit>`", ":ref:`token <02_decentralchain/02_token(asset):Token (Asset)>` to pay the commission."
":math:`4`", "function", :ref:`String<02_decentralchain/09_protocol:Blockchain Data Types>`, "Name of the :ref:`callable function <03_ride-language/03_functions:Callable Functions>`."
":math:`5`", "args", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`Boolean <03_ride-language/02_data-types:Boolean>` | :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>` | :ref:`Int <03_ride-language/02_data-types:Int>` | :ref:`String <03_ride-language/02_data-types:String>` | :ref:`List <03_ride-language/02_data-types:List>` [:ref:`Boolean <03_ride-language/02_data-types:Boolean>` | :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>` | :ref:`Int <03_ride-language/02_data-types:Int>` | :ref:`String <03_ride-language/02_data-types:String>`]]", "Parameters of the callable function."
":math:`6`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`7`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`8`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`9`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`10`", "sender", ":ref:`address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of the transaction sender."
":math:`11`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Account public key of the transaction sender."
":math:`12`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`13`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Array of proofs."
