#, Name, Data type, Description
":math:`1`", "amount", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of the :ref:`token <02_decentralchain/02_token(asset):Token (Asset)>` to lease."
":math:`2`", "recipient", ":ref:`address <03_ride-language/05_structures:Address>` | :ref:`Alias <03_ride-language/05_structures:Alias>`", ":ref:`address <02_decentralchain/01_account:Address>` or :ref:`alias <02_decentralchain/01_account:Alias>` of the leasing recipient."
":math:`3`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`4`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`5`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`6`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`7`", "sender", ":ref:`address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of a transaction sender."
":math:`8`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Account public key of a sender."
":math:`9`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`10`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Array of proofs."
