Field, Size, Description
"chain_id", ":math:`1` byte", ":ref:`Chain ID <02_decentralchain/08_mainnet-testnet-stagenet:Chain ID>`"
"sender_public_key", ":math:`32` bytes", "Public key of the order sender."
"matcher_public_key", ":math:`32` bytes", "Public key of matcher."
"asset_pair.amount_asset_id", ":math:`32` bytes for asset. :math:`0` for DecentralCoins.", "ID of the amount asset."
"asset_pair.price_asset_id", ":math:`32` bytes for asset. :math:`0` for DecentralCoins.", "ID of the price asset."
"order_side", ":math:`1` byte", "Order type: buy or sell."
"amount", ":math:`8` bytes", "Amount of the amount asset, specified in the minimum fraction (“cent”) of asset."
"price", ":math:`8` bytes", "Price for the amount asset nominated in the price asset, multiplied by :math:`108`."
"timestamp", ":math:`8` bytes", "Order timestamp: Unix time in milliseconds."
"expiration", ":math:`8` bytes", "Unix time in milliseconds when the order will be expired."
"matcher_fee.asset_id", ":math:`32` bytes for asset. :math:`0` for DecentralCoins.", "Matcher fee token ID."
"matcher_fee.amount", ":math:`8` bytes", "Matcher fee"
"version", ":math:`1` byte", "Order version: 4."
"proofs", "Each proof up to :math:`64`  bytes, up to :math:`8` proofs.", "Order proofs that are used to check the validity of the order."
