#, Name, Data type, Description
":math:`1`", "amount", ":ref:`Int <03_advanced:Int>`", "Amount of the :ref:`token <02_intermediate:Token (Asset)>` to lease."
":math:`2`", "recipient", ":ref:`Address <03_advanced:Address>` | :ref:`Alias <03_advanced:Alias>`", ":ref:`Address <02_intermediate:Address>` or :ref:`alias <02_intermediate:Alias>` of the leasing recipient."
":math:`3`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`4`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`5`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`6`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`7`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of a transaction sender."
":math:`8`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Account public key of a sender."
":math:`9`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`10`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
