#, Name, Data type, Description
":math:`1`", "quantity", ":ref:`Int <03_advanced:Int>`", "Amount of the :ref:`token <02_intermediate:Token (Asset)>` to burn."
":math:`2`", "assetId", ":ref:`ByteVector <03_advanced:ByteVector>`", "ID of the token to burn."
":math:`3`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`4`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`5`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`6`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`7`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of the transaction sender."
":math:`8`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Public key of the transaction sender."
":math:`9`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`10`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
