#, Name, Data type, Description
":math:`1`", "assetId", ":ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Unit <03_advanced:Unit>`", ":ref:`Token ID <02_intermediate:Token ID>`."
":math:`2`", "totalAmount", ":ref:`Int <03_advanced:Int>`", "Amount of the token to be transferred."
":math:`3`", "transfers", ":ref:`List <03_advanced:List>` [:ref:`Transfer <03_advanced:Transfer>`]", "Transfers."
":math:`4`", "transferCount", ":ref:`Int <03_advanced:Int>`", "Number of transfers."
":math:`5`", "attachment", ":ref:`ByteVector <03_advanced:ByteVector>`", "Optional data attached to the transaction. This field is often used to attach a comment to the transaction. The maximum data size is :math:`140` bytes."
":math:`6`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`7`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`8`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`9`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`10`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of the transaction sender."
":math:`11`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Public key of the transaction sender."
":math:`12`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`13`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Proofs."
