Ride structure that sets action, Description
":ref:`BinaryEntry <03_ride-language/05_structures:BinaryEntry>`, :ref:`BooleanEntry <03_ride-language/05_structures:BooleanEntry>`, :ref:`IntegerEntry <03_ride-language/05_structures:IntegerEntry>`, :ref:`StringEntry <03_ride-language/05_structures:StringEntry>`", "Adding/modifying the entry. The type of structure must match the type of entry to be added/changed. 1) If there is no entry in the account data storage with the key specified in the structure, the entry will be added. 2) If the entry is present in the :ref:`account data storage <02_decentralchain/01_account:Account Data Storage>`, it will be modified."
":ref:`DeleteEntry <03_ride-language/05_structures:DeleteEntry>`", "Entry deletion"
":ref:`Issue <03_ride-language/05_structures:Issue>`", "Token issue"
":ref:`Reissue <03_ride-language/05_structures:Reissue>`", "Token reissue"
":ref:`Burn <03_ride-language/05_structures:Burn>`", "Token burn"
":ref:`SponsorFee <03_ride-language/05_structures:SponsorFee>`", "Sponsorship setup"
":ref:`ScriptTransfer <03_ride-language/05_structures:ScriptTransfer>`", "Token transfer"
":ref:`Lease <03_ride-language/05_structures:Lease>`", "Lease"
":ref:`LeaseCancel <03_ride-language/05_structures:LeaseCancel>`", "Lease cancellation"
