#, Name, Data type ,Description
":math:`1`", "assetId", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", ":ref:`token ID <02_decentralchain/02_token(asset):Token ID>`."
":math:`2`", "minSponsoredAssetFee", ":ref:`Int <03_ride-language/02_data-types:Int>` |  :ref:`Unit <03_ride-language/02_data-types:Unit>`", "Amount of asset that is equivalent to 0.001 :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>` (100,000 Decentralites): an integer value specified in atomic units. unit – disable sponsorship."
":math:`3`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`4`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`5`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`6`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`7`", "sender", ":ref:`Address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of the transaction sender."
":math:`8`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Public key of the transaction sender."
":math:`9`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`10`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Proofs."
