#, Field name, Type, Length in Bytes
":math:`1`", "Packet length (BigEndian)", :ref:`Int <02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`4`"
":math:`2`", "Magic Bytes", "Bytes", ":math:`4`"
":math:`3`", "Content ID (0x64)", ":ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`1`"
":math:`4`", "Payload length", :ref:`Int <02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`4`"
":math:`5`", "Payload checksum", "Bytes", ":math:`4`"
":math:`6`", "Checkpoint items count (N)", :ref:`Int <02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`4`"
":math:`7`", "Checkpoint #1 height", :ref:`Long <02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`8`"
":math:`8`", "Checkpoint #1 signature", "Bytes", ":math:`64`"
"...", "...", "...", "..."
":math:`6 + 2 * N - 1`", "Checkpoint #N height", :ref:`Long <02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`8`"
":math:`6 + 2 * N`", "Checkpoint #N signature", "Bytes", ":math:`64`"
