#, Name, Data type, Description
":math:`1`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", ":ref:`token ID <02_decentralchain/02_token(asset):Token ID>`."
":math:`2`", "quantity", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of issued token, multiplied by :math:`10^{decimals}`. Up to :math:`9 223 372 036 854 775 806`."
":math:`3`", "decimals", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Number of decimal places, :math:`0` to :math:`8`."
":math:`4`", "issuer", ":ref:`Address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of the :ref:`account <02_decentralchain/01_account:Account>` that issued a token."
":math:`5`", "issuerPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Public key of the account that issued a token."
":math:`6`", "reissuable", ":ref:`Boolean <03_ride-language/02_data-types:Boolean>`", "true — token can be reissued, false — cannot be reissued."
":math:`7`", "scripted", ":ref:`Boolean <03_ride-language/02_data-types:Boolean>`", "true — :ref:`smart asset <documentation:placeholder>`, false — regular token."
":math:`8`", "minSponsoredFee", ":ref:`Int <03_ride-language/02_data-types:Int>` | :ref:`Unit <03_ride-language/02_data-types:Unit>`", "Amount of asset that is equivalent to :math:`0.001` :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>` (:math:`100,000` Decentralites), specified in the minimum fraction (“cents”) of asset. See the :ref:`Sponsored fee <02_decentralchain/03_transaction:Sponsored Fees>` article. unit: sponsorship is disabled."
":math:`9`", "name", ":ref:`String <03_ride-language/02_data-types:String>`", "Token name, up to :math:`16` characters."
":math:`10`", "description", ":ref:`String <03_ride-language/02_data-types:String>`", "Token description, up to :math:`1000` characters."
