#, Name, Data type, Description
":math:`1`", "quantity", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of the :ref:`token <02_decentralchain/02_token(asset):Token (Asset)>` to burn."
":math:`2`", "assetId", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "ID of the token to burn."
":math:`3`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`4`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`5`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`6`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`7`", "sender", ":ref:`Address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of the transaction sender."
":math:`8`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Public key of the transaction sender."
":math:`9`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`10`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Array of proofs."
